Year,2020/21
Brent 034A,108
Brent 034B,79
Brent 034C,220
Brent 034D,83
Bromley 001A,21
Bromley 001B,58
Bromley 001C,84
Bromley 001D,53
Bromley 001E,105
Bromley 001F,89
Bromley 002A,55
Bromley 002B,17
Bromley 002C,28
Bromley 002D,32
Bromley 002E,44
Bromley 004A,53
Bromley 004B,44
Bromley 004C,28
Bromley 004D,19
Bromley 004E,43
Bromley 005A,75
Bromley 005B,58
Bromley 005C,58
Bromley 005D,53
Bromley 005E,48
Bromley 006A,13
Bromley 006B,30
Bromley 006C,19
Bromley 006D,25
Bromley 006E,85
Bromley 007A,6
Bromley 007B,20
Bromley 007C,12
Bromley 007D,16
Bromley 007E,14
Bromley 007F,21
Bromley 008A,56
Bromley 008B,54
Bromley 008C,32
Bromley 008D,42
Bromley 008E,24
Bromley 008F,52
Bromley 008G,37
Bromley 009A,54
Bromley 009B,94
Bromley 009C,114
Bromley 009D,63
Bromley 009E,81
Bromley 009F,90
Bromley 010A,14
Bromley 010B,18
Bromley 010C,70
Bromley 010D,50
Bromley 011A,24
Bromley 011B,19
Bromley 011C,10
Bromley 011D,9
Bromley 011E,17
Bromley 012A,23
Bromley 012B,13
Bromley 012C,17
Bromley 012D,16
Bromley 012E,15
Bromley 013A,32
Bromley 013B,28
Bromley 013C,23
Bromley 013D,35
Bromley 013E,15
Bromley 014A,114
Bromley 014B,112
Bromley 014C,126
Bromley 014D,54
Bromley 014E,95
Bromley 015A,58
Bromley 015B,36
Bromley 015C,20
Bromley 015D,58
Bromley 015E,42
Bromley 016A,36
Bromley 016B,27
Bromley 016C,25
Bromley 016D,11
Bromley 016E,20
Bromley 018A,15
Bromley 018B,44
Bromley 018C,31
Bromley 018D,36
Bromley 018E,22
Bromley 019A,126
Bromley 019B,135
Bromley 019C,91
Bromley 019D,134
Bromley 019E,68
Bromley 020A,15
Bromley 020B,46
Bromley 020C,27
Bromley 020D,25
Bromley 020E,39
Bromley 021A,8
Bromley 021B,15
Bromley 021C,6
Bromley 021D,26
Bromley 021E,15
Bromley 022A,22
Bromley 022B,17
Bromley 022C,21
Bromley 022D,10
Bromley 023A,94
Bromley 023B,52
Bromley 023C,80
Bromley 023D,35
Bromley 023E,53
Bromley 024A,31
Bromley 024B,15
Bromley 024C,34
Bromley 024D,18
Bromley 024E,41
Bromley 025A,29
Bromley 025B,14
Bromley 025C,21
Bromley 025D,23
Bromley 025E,5
Bromley 026A,128
Bromley 026B,73
Bromley 026C,35
Bromley 026D,52
Bromley 027A,13
Bromley 027B,34
Bromley 027C,18
Bromley 027D,29
Bromley 027E,17
Bromley 028A,56
Bromley 028B,43
Bromley 028C,39
Bromley 028D,5
Bromley 028E,16
Bromley 029A,34
Bromley 029B,29
Bromley 029C,50
Bromley 029D,48
Bromley 029E,34
Bromley 030A,19
Bromley 030B,23
Bromley 030C,13
Bromley 030D,40
Bromley 030E,13
Bromley 030F,12
Bromley 030G,14
Bromley 030H,22
Bromley 031A,29
Bromley 031B,33
Bromley 031C,7
Bromley 031D,18
Bromley 031E,15
Bromley 032A,19
Bromley 032B,165
Bromley 032C,36
Bromley 032D,8
Bromley 032E,76
Bromley 033A,57
Bromley 033B,31
Bromley 033C,11
Bromley 033D,19
Bromley 034A,38
Bromley 034B,34
Bromley 034C,25
Bromley 034D,33
Bromley 034E,32
Bromley 035A,9
Bromley 035B,20
Bromley 035C,30
Bromley 035D,14
Bromley 035E,15
Bromley 036A,29
Bromley 036B,58
Bromley 036C,26
Bromley 036D,33
Bromley 037A,21
Bromley 037B,33
Bromley 037C,22
Bromley 037D,14
Bromley 037E,24
Bromley 039A,46
Bromley 039B,38
Bromley 039C,37
Bromley 039D,59
Bromley 039E,31
Bromley 040A,50
Bromley 040B,29
Bromley 040C,73
Bromley 040D,96
Bromley 040E,30
Bromley 041A,24
Bromley 041B,35
Bromley 041C,13
Bromley 041D,28
Bromley 041E,62
Bromley 042A,16
Bromley 042B,96
Bromley 042C,37
Bromley 042D,28
Croydon 001A,51
Croydon 001B,23
Croydon 001C,81
Croydon 001D,60
Croydon 001E,66
Croydon 002A,37
Croydon 002B,74
Croydon 002C,51
Croydon 002D,88
Croydon 002E,45
Croydon 003A,45
Croydon 003B,39
Croydon 003C,127
Croydon 003D,127
Croydon 004A,38
Croydon 004B,92
Croydon 004C,108
Croydon 004D,135
Croydon 004E,56
Croydon 005A,84
Croydon 005B,76
Croydon 005C,129
Croydon 005D,120
Croydon 005E,37
Croydon 006A,58
Croydon 006B,72
Croydon 006C,50
Croydon 006D,48
Croydon 006E,77
Croydon 007A,66
Croydon 007B,24
Croydon 007C,50
Croydon 007D,50
Croydon 007E,80
Croydon 008A,53
Croydon 008B,89
Croydon 008C,142
Croydon 008D,78
Croydon 008E,75
Croydon 009A,76
Croydon 009B,71
Croydon 009C,51
Croydon 009D,54
Croydon 009E,43
Croydon 009F,90
Croydon 010A,57
Croydon 010B,56
Croydon 010C,72
Croydon 010D,57
Croydon 010E,96
Croydon 011A,80
Croydon 011B,72
Croydon 011C,110
Croydon 011D,65
Croydon 011E,110
Croydon 011F,59
Croydon 013A,95
Croydon 013B,127
Croydon 013C,90
Croydon 013D,78
Croydon 013E,65
Croydon 013F,60
Croydon 014A,89
Croydon 014B,54
Croydon 014C,58
Croydon 014D,88
Croydon 014E,75
Croydon 015A,95
Croydon 015B,112
Croydon 015C,121
Croydon 015D,120
Croydon 015E,107
Croydon 016A,64
Croydon 016B,112
Croydon 016C,90
Croydon 016D,66
Croydon 016E,89
Croydon 017A,44
Croydon 017B,42
Croydon 017C,54
Croydon 017D,32
Croydon 017E,80
Croydon 018A,47
Croydon 018B,26
Croydon 018C,40
Croydon 018D,27
Croydon 018E,45
Croydon 019A,67
Croydon 019B,115
Croydon 019C,85
Croydon 019D,130
Croydon 019E,107
Croydon 020A,130
Croydon 020B,148
Croydon 020C,97
Croydon 020D,75
Croydon 020E,100
Croydon 021A,34
Croydon 021B,25
Croydon 021C,21
Croydon 021D,53
Croydon 022A,54
Croydon 022B,78
Croydon 022C,51
Croydon 022D,33
Croydon 022E,38
Croydon 022F,70
Croydon 023A,11
Croydon 023B,24
Croydon 023C,9
Croydon 023D,19
Croydon 024A,144
Croydon 024B,114
Croydon 024C,68
Croydon 024D,112
Croydon 024E,29
Croydon 025A,23
Croydon 025B,146
Croydon 025C,209
Croydon 025D,39
Croydon 026A,51
Croydon 026B,21
Croydon 026C,26
Croydon 026D,25
Croydon 026E,21
Croydon 027A,35
Croydon 027B,161
Croydon 027C,64
Croydon 027D,31
Croydon 027E,77
Croydon 028A,58
Croydon 028B,83
Croydon 028C,59
Croydon 028D,177
Croydon 028E,88
Croydon 029A,13
Croydon 029B,39
Croydon 029C,43
Croydon 029D,21
Croydon 029E,56
Croydon 030A,141
Croydon 030B,118
Croydon 030C,146
Croydon 030D,169
Croydon 030E,192
Croydon 031A,44
Croydon 031B,37
Croydon 031C,67
Croydon 031D,47
Croydon 031E,19
Croydon 032A,108
Croydon 032B,62
Croydon 032C,23
Croydon 032D,91
Croydon 032E,95
Croydon 033A,20
Croydon 033B,33
Croydon 033C,22
Croydon 033D,22
Croydon 033E,36
Croydon 034A,23
Croydon 034B,52
Croydon 034C,71
Croydon 034D,47
Croydon 034E,28
Croydon 034F,108
Croydon 034G,31
Croydon 034H,24
Croydon 035A,13
Croydon 035B,17
Croydon 035C,19
Croydon 035D,19
Croydon 035E,18
Croydon 036A,99
Croydon 036B,111
Croydon 036C,118
Croydon 036D,55
Croydon 037A,25
Croydon 037B,57
Croydon 037C,50
Croydon 037D,16
Croydon 037E,76
Croydon 037F,24
Croydon 038A,11
Croydon 038B,26
Croydon 038C,21
Croydon 038D,17
Croydon 038E,6
Croydon 039A,24
Croydon 039B,40
Croydon 039C,43
Croydon 039D,11
Croydon 040A,13
Croydon 040B,67
Croydon 040C,45
Croydon 040D,49
Croydon 041A,30
Croydon 041B,40
Croydon 041C,57
Croydon 041D,17
Croydon 041E,76
Croydon 042A,48
Croydon 042B,51
Croydon 042C,10
Croydon 042D,32
Croydon 043A,14
Croydon 043B,23
Croydon 043C,9
Croydon 043D,39
Croydon 043E,63
Croydon 044A,9
Croydon 044B,13
Croydon 044C,34
Croydon 044D,79
Croydon 044E,11
Croydon 045A,106
Croydon 045B,22
Croydon 045C,53
Croydon 045D,72
Croydon 045E,136
Ealing 001A,96
Ealing 001B,91
Ealing 001C,85
Ealing 001D,68
Ealing 001E,129
Ealing 002A,70
Ealing 002B,32
Ealing 002C,81
Ealing 002D,63
Ealing 002E,57
Ealing 003A,55
Ealing 003B,99
Ealing 003C,110
Ealing 003D,125
Ealing 003E,141
Ealing 003F,104
Ealing 004A,48
Ealing 004B,55
Ealing 004C,113
Ealing 004D,82
Ealing 005A,66
Ealing 005B,70
Ealing 005C,61
Ealing 005D,103
Ealing 006A,60
Ealing 006B,44
Ealing 006C,102
Ealing 006D,73
Ealing 006E,84
Ealing 007A,84
Ealing 007B,69
Ealing 007C,57
Ealing 007D,72
Ealing 008A,189
Ealing 008B,75
Ealing 008C,93
Ealing 008D,109
Ealing 008E,108
Ealing 009A,114
Ealing 009B,119
Ealing 009C,124
Ealing 009D,102
Ealing 009E,172
Ealing 010B,60
Ealing 010C,106
Ealing 010D,100
Ealing 010E,113
Ealing 010F,169
Ealing 010G,72
Ealing 011A,62
Ealing 011B,63
Ealing 011C,59
Ealing 011D,28
Ealing 012A,92
Ealing 012B,48
Ealing 012C,72
Ealing 012D,80
Ealing 013A,7
Ealing 013B,15
Ealing 013C,7
Ealing 013D,9
Ealing 014A,49
Ealing 014B,42
Ealing 014C,58
Ealing 014D,46
Ealing 014E,98
Ealing 015A,61
Ealing 015B,62
Ealing 015C,69
Ealing 015D,97
Ealing 015E,79
Ealing 016A,140
Ealing 016B,73
Ealing 016C,48
Ealing 016D,76
Ealing 016E,71
Ealing 016F,103
Ealing 017A,90
Ealing 017B,69
Ealing 017C,63
Ealing 017D,101
Ealing 017E,77
Ealing 018A,42
Ealing 018B,102
Ealing 018C,119
Ealing 018D,10
Ealing 018E,12
Ealing 018F,15
Ealing 019A,49
Ealing 019B,..
Ealing 019C,..
Ealing 019D,11
Ealing 019E,20
Ealing 020A,14
Ealing 020B,18
Ealing 020C,25
Ealing 020D,29
Ealing 020E,32
Ealing 020F,14
Ealing 020G,9
Ealing 020H,19
Ealing 021A,28
Ealing 021B,42
Ealing 021C,24
Ealing 021D,63
Ealing 022A,38
Ealing 022B,63
Ealing 022C,32
Ealing 022D,48
Ealing 023A,124
Ealing 023B,46
Ealing 023C,111
Ealing 023D,63
Ealing 023E,100
Ealing 024A,73
Ealing 024B,57
Ealing 024C,34
Ealing 024D,85
Ealing 024E,136
Ealing 024F,27
Ealing 025A,25
Ealing 025B,23
Ealing 025C,114
Ealing 025D,46
Ealing 025E,57
Ealing 026A,139
Ealing 026B,95
Ealing 026C,119
Ealing 026D,118
Ealing 026E,136
Ealing 026F,109
Ealing 027A,19
Ealing 027B,9
Ealing 027C,14
Ealing 027D,23
Ealing 027E,35
Ealing 028A,103
Ealing 028B,82
Ealing 028C,20
Ealing 028D,23
Ealing 028E,44
Ealing 028F,46
Ealing 029A,167
Ealing 029B,132
Ealing 029C,146
Ealing 029D,64
Ealing 029E,74
Ealing 029F,131
Ealing 029G,84
Ealing 030A,38
Ealing 030B,61
Ealing 030C,55
Ealing 030D,43
Ealing 031A,55
Ealing 031B,10
Ealing 031C,52
Ealing 031D,56
Ealing 031E,5
Ealing 031F,17
Ealing 032A,10
Ealing 032B,6
Ealing 032C,34
Ealing 032D,10
Ealing 032E,13
Ealing 033A,54
Ealing 033B,51
Ealing 033C,185
Ealing 033D,65
Ealing 033E,112
Ealing 034A,17
Ealing 034B,6
Ealing 034C,7
Ealing 034D,31
Ealing 035A,40
Ealing 035B,26
Ealing 035C,19
Ealing 035D,19
Ealing 037A,84
Ealing 037B,143
Ealing 037C,62
Ealing 037D,122
Ealing 037E,122
Ealing 037F,100
Ealing 037G,86
Ealing 038A,177
Ealing 038B,57
Ealing 038C,66
Ealing 038D,98
Ealing 039A,12
Ealing 039B,34
Ealing 039C,15
Ealing 039D,32
Ealing 040A,38
Ealing 040B,40
Ealing 040C,20
Ealing 040D,17
Enfield 001A,64
Enfield 001B,78
Enfield 001C,81
Enfield 001D,92
Enfield 002A,112
Enfield 002B,142
Enfield 002C,107
Enfield 002D,100
Enfield 002E,96
Enfield 003B,109
Enfield 003C,101
Enfield 003D,93
Enfield 003E,74
Enfield 003F,73
Enfield 003G,82
Enfield 004A,37
Enfield 004B,27
Enfield 004C,53
Enfield 004D,21
Enfield 004E,91
Enfield 005A,48
Enfield 005B,92
Enfield 005C,119
Enfield 005D,87
Enfield 005E,40
Enfield 006A,87
Enfield 006B,84
Enfield 006C,117
Enfield 006D,118
Enfield 006E,89
Enfield 007A,89
Enfield 007B,62
Enfield 007C,60
Enfield 007D,61
Enfield 007E,83
Enfield 008A,59
Enfield 008B,48
Enfield 008C,27
Enfield 008D,35
Enfield 008E,21
Enfield 009A,22
Enfield 009B,38
Enfield 009C,25
Enfield 009D,19
Enfield 010A,9
Enfield 010B,26
Enfield 010C,22
Enfield 010D,20
Enfield 010E,13
Enfield 011A,47
Enfield 011B,20
Enfield 011C,50
Enfield 011D,9
Enfield 012A,79
Enfield 012B,111
Enfield 012C,82
Enfield 012D,97
Enfield 012E,134
Enfield 012F,75
Enfield 013A,29
Enfield 013B,32
Enfield 013C,36
Enfield 013D,19
Enfield 014A,140
Enfield 014B,109
Enfield 014C,77
Enfield 014D,51
Enfield 015A,18
Enfield 015B,48
Enfield 015C,37
Enfield 015D,35
Enfield 015E,109
Enfield 016A,21
Enfield 016B,70
Enfield 016C,54
Enfield 016D,69
Enfield 016E,53
Enfield 016F,37
Enfield 017A,25
Enfield 017B,17
Enfield 017C,25
Enfield 017D,23
Enfield 018A,99
Enfield 018B,101
Enfield 018C,55
Enfield 018D,79
Enfield 018E,71
Enfield 019A,59
Enfield 019B,38
Enfield 019C,30
Enfield 019D,44
Enfield 019E,19
Enfield 020A,48
Enfield 020B,54
Enfield 020C,63
Enfield 020D,60
Enfield 020E,26
Enfield 021A,29
Enfield 021B,28
Enfield 021C,13
Enfield 021D,28
Enfield 021E,25
Enfield 021F,39
Enfield 022A,7
Enfield 022B,27
Enfield 022C,8
Enfield 022D,16
Enfield 022E,13
Enfield 023A,84
Enfield 023B,109
Enfield 023C,107
Enfield 023D,105
Enfield 023E,66
Enfield 024A,96
Enfield 024B,98
Enfield 024C,56
Enfield 024D,62
Enfield 024E,142
Enfield 025A,69
Enfield 025B,116
Enfield 025C,135
Enfield 025E,106
Enfield 025F,106
Enfield 025G,107
Enfield 026A,46
Enfield 026B,100
Enfield 026C,53
Enfield 026D,32
Enfield 026E,50
Enfield 027A,93
Enfield 027B,153
Enfield 027C,138
Enfield 027D,101
Enfield 027E,98
Enfield 028A,19
Enfield 028B,10
Enfield 028C,25
Enfield 028D,11
Enfield 028E,33
Enfield 029A,45
Enfield 029B,66
Enfield 029C,43
Enfield 029D,40
Enfield 029E,12
Enfield 030A,118
Enfield 030B,134
Enfield 030C,184
Enfield 030D,173
Enfield 030E,141
Enfield 031A,50
Enfield 031B,75
Enfield 031C,74
Enfield 031D,107
Enfield 031E,54
Enfield 031F,58
Enfield 032A,22
Enfield 032B,62
Enfield 032C,96
Enfield 032D,81
Enfield 032E,38
Enfield 033A,131
Enfield 033B,104
Enfield 033C,141
Enfield 033D,104
Enfield 033E,141
Enfield 033F,125
Enfield 035A,77
Enfield 035B,98
Enfield 035C,95
Enfield 035D,37
Enfield 035E,69
Enfield 035F,86
Enfield 036A,54
Enfield 036B,55
Enfield 036C,59
Enfield 036D,50
Enfield 036E,75
Enfield 036F,51
Enfield 037A,149
Enfield 037B,115
Enfield 037C,133
Enfield 037D,153
Enfield 037E,131
Greenwich 001A,100
Greenwich 001B,104
Greenwich 001C,110
Greenwich 001D,138
Greenwich 002A,77
Greenwich 002B,180
Greenwich 002E,125
Greenwich 002F,109
Greenwich 002G,103
Greenwich 002H,98
Greenwich 002I,109
Greenwich 003A,165
Greenwich 003B,181
Greenwich 003C,136
Greenwich 003D,116
Greenwich 003E,122
Greenwich 004B,60
Greenwich 004C,79
Greenwich 004D,176
Greenwich 004E,27
Greenwich 004F,43
Greenwich 004G,43
Greenwich 004H,5
Greenwich 004I,103
Greenwich 005A,159
Greenwich 005B,113
Greenwich 005C,52
Greenwich 005D,185
Greenwich 005E,61
Greenwich 006A,128
Greenwich 006B,145
Greenwich 006C,120
Greenwich 006D,79
Greenwich 006E,96
Greenwich 007B,202
Greenwich 007C,94
Greenwich 007D,83
Greenwich 007E,84
Greenwich 007F,33
Greenwich 007G,85
Greenwich 008A,75
Greenwich 008B,64
Greenwich 008C,53
Greenwich 008D,160
Greenwich 009A,149
Greenwich 009B,127
Greenwich 009C,174
Greenwich 009D,119
Greenwich 011A,134
Greenwich 011B,119
Greenwich 011C,128
Greenwich 011D,94
Greenwich 011E,227
Greenwich 011F,72
Greenwich 012A,92
Greenwich 012B,100
Greenwich 012C,154
Greenwich 012D,147
Greenwich 014A,55
Greenwich 014B,32
Greenwich 014C,31
Greenwich 014D,161
Greenwich 015A,179
Greenwich 015B,51
Greenwich 015C,85
Greenwich 015D,215
Greenwich 016A,52
Greenwich 016B,28
Greenwich 016C,34
Greenwich 016D,24
Greenwich 017A,59
Greenwich 017B,86
Greenwich 017C,41
Greenwich 017D,58
Greenwich 019A,131
Greenwich 019B,111
Greenwich 019C,126
Greenwich 019D,49
Greenwich 020A,56
Greenwich 020B,20
Greenwich 020C,32
Greenwich 020D,65
Greenwich 020E,57
Greenwich 021A,34
Greenwich 021B,48
Greenwich 021C,26
Greenwich 021D,10
Greenwich 022A,91
Greenwich 022B,38
Greenwich 022C,59
Greenwich 022D,88
Greenwich 023A,17
Greenwich 023B,24
Greenwich 023C,33
Greenwich 023D,29
Greenwich 025A,103
Greenwich 025B,77
Greenwich 025C,96
Greenwich 025D,72
Greenwich 025E,133
Greenwich 027A,23
Greenwich 027B,45
Greenwich 027C,18
Greenwich 027D,24
Greenwich 028A,71
Greenwich 028B,24
Greenwich 028C,67
Greenwich 028D,41
Greenwich 029A,121
Greenwich 029B,133
Greenwich 029C,108
Greenwich 029D,104
Greenwich 029E,108
Greenwich 030C,77
Greenwich 030D,67
Greenwich 030E,162
Greenwich 031A,42
Greenwich 031B,44
Greenwich 031C,148
Greenwich 031D,116
Greenwich 032A,35
Greenwich 032B,62
Greenwich 032C,31
Greenwich 032D,26
Greenwich 033A,98
Greenwich 033B,87
Greenwich 033C,149
Greenwich 033D,50
Greenwich 034A,55
Greenwich 034B,15
Greenwich 034C,45
Greenwich 034D,34
Greenwich 034E,212
Greenwich 035A,231
Greenwich 035B,112
Greenwich 035C,14
Greenwich 035D,57
Greenwich 036A,57
Greenwich 036B,130
Greenwich 036C,113
Greenwich 036D,16
Greenwich 036E,89
Greenwich 037A,98
Greenwich 037B,39
Greenwich 037C,42
Greenwich 037D,67
Greenwich 038A,115
Greenwich 038B,41
Greenwich 038C,42
Greenwich 038D,55
Greenwich 038E,26
Harrow 001A,38
Harrow 001B,60
Harrow 001C,10
Harrow 001D,58
Harrow 002A,44
Harrow 002B,44
Harrow 002C,20
Harrow 002D,96
Harrow 002E,94
Harrow 003A,121
Harrow 003B,81
Harrow 003C,70
Harrow 003D,42
Harrow 004A,51
Harrow 004B,7
Harrow 004C,11
Harrow 004D,5
Harrow 005A,54
Harrow 005B,59
Harrow 005C,55
Harrow 005D,71
Harrow 005E,61
Harrow 006A,76
Harrow 006B,29
Harrow 006C,60
Harrow 006D,97
Harrow 006E,14
Harrow 007A,146
Harrow 007B,105
Harrow 007C,98
Harrow 007D,61
Harrow 007E,91
Harrow 008A,60
Harrow 008B,50
Harrow 008C,20
Harrow 008D,50
Harrow 008E,84
Harrow 009A,107
Harrow 009B,59
Harrow 009C,40
Harrow 009D,14
Harrow 010A,93
Harrow 010B,120
Harrow 010C,105
Harrow 010D,73
Harrow 010E,77
Harrow 011A,70
Harrow 011B,161
Harrow 011C,77
Harrow 011D,118
Harrow 011E,115
Harrow 012A,68
Harrow 012B,52
Harrow 012C,53
Harrow 012D,84
Harrow 012E,166
Harrow 013A,122
Harrow 013B,148
Harrow 013C,74
Harrow 013D,84
Harrow 013E,80
Harrow 015A,59
Harrow 015B,29
Harrow 015C,79
Harrow 015D,39
Harrow 016A,8
Harrow 016B,27
Harrow 016C,15
Harrow 016D,45
Harrow 017A,81
Harrow 017B,75
Harrow 017C,80
Harrow 017D,108
Harrow 017E,87
Harrow 019A,16
Harrow 019B,17
Harrow 019C,39
Harrow 019D,19
Harrow 020A,66
Harrow 020B,118
Harrow 020C,78
Harrow 020D,78
Harrow 021A,49
Harrow 021B,86
Harrow 021C,73
Harrow 021D,42
Harrow 022A,21
Harrow 022B,15
Harrow 022C,24
Harrow 022D,31
Harrow 023A,83
Harrow 023B,45
Harrow 023C,51
Harrow 023D,77
Harrow 024A,65
Harrow 024B,58
Harrow 024C,42
Harrow 024D,57
Harrow 025A,8
Harrow 025B,34
Harrow 025C,39
Harrow 025D,74
Harrow 027A,146
Harrow 027B,65
Harrow 027C,73
Harrow 027D,159
Harrow 028A,49
Harrow 028B,76
Harrow 028C,75
Harrow 028D,143
Harrow 029A,24
Harrow 029B,17
Harrow 029C,76
Harrow 029D,9
Harrow 030A,55
Harrow 030B,102
Harrow 030C,51
Harrow 030D,77
Harrow 031A,113
Harrow 031B,107
Harrow 031C,59
Harrow 031D,64
Harrow 031E,101
Harrow 032A,32
Harrow 032B,47
Harrow 032C,61
Harrow 032D,68
Harrow 032E,43
Harrow 033A,94
Harrow 033B,73
Harrow 033C,109
Harrow 033D,66
Harrow 033E,31
Harrow 033F,56
Harrow 033G,55
Harrow 033H,59
Harrow 033I,53
Havering 001A,115
Havering 001B,103
Havering 001C,81
Havering 001D,115
Havering 002A,93
Havering 002B,75
Havering 002C,169
Havering 002D,84
Havering 002E,72
Havering 003A,62
Havering 003B,126
Havering 003C,32
Havering 003D,131
Havering 003E,95
Havering 004A,134
Havering 004B,194
Havering 004C,96
Havering 004D,89
Havering 004E,149
Havering 004F,122
Havering 005A,81
Havering 005B,87
Havering 005C,99
Havering 005D,66
Havering 005E,63
Havering 006A,110
Havering 006B,89
Havering 006C,94
Havering 006D,68
Havering 007A,53
Havering 007B,19
Havering 007C,28
Havering 007D,48
Havering 007E,38
Havering 008A,30
Havering 008B,62
Havering 008C,55
Havering 008D,18
Havering 008E,48
Havering 009A,31
Havering 009B,72
Havering 009C,50
Havering 009D,76
Havering 009E,39
Havering 009F,33
Havering 010A,40
Havering 010B,33
Havering 010C,45
Havering 010D,41
Havering 010E,33
Havering 010F,32
Havering 011A,62
Havering 011B,52
Havering 011C,139
Havering 011D,57
Havering 011E,88
Havering 012A,12
Havering 012B,21
Havering 012C,24
Havering 012D,33
Havering 012E,62
Havering 012F,56
Havering 013A,64
Havering 013B,45
Havering 013C,112
Havering 013E,40
Havering 013F,32
Havering 014A,27
Havering 014B,36
Havering 014C,18
Havering 014D,25
Havering 014E,17
Havering 014F,33
Havering 015A,11
Havering 015B,21
Havering 015C,15
Havering 015D,16
Havering 016A,76
Havering 016B,67
Havering 016C,46
Havering 016D,78
Havering 016E,75
Havering 017A,78
Havering 017B,121
Havering 017C,122
Havering 017D,164
Havering 017E,58
Havering 017F,120
Havering 018A,34
Havering 018B,30
Havering 018C,60
Havering 018D,29
Havering 018E,56
Havering 019A,18
Havering 019B,13
Havering 019C,7
Havering 019D,24
Havering 020A,17
Havering 020B,18
Havering 020C,54
Havering 020D,52
Havering 020E,43
Havering 021A,32
Havering 021B,47
Havering 021C,68
Havering 021D,25
Havering 021E,47
Havering 022A,26
Havering 022B,37
Havering 022C,41
Havering 022D,39
Havering 022E,45
Havering 023A,57
Havering 023B,26
Havering 023C,20
Havering 023D,45
Havering 023E,31
Havering 024A,13
Havering 024B,15
Havering 024C,7
Havering 024D,19
Havering 024E,7
Havering 025A,30
Havering 025B,15
Havering 025C,27
Havering 025D,9
Havering 025E,18
Havering 026A,50
Havering 026B,60
Havering 026C,50
Havering 026D,36
Havering 026E,103
Havering 027A,31
Havering 027B,59
Havering 027C,49
Havering 027D,68
Havering 027E,106
Havering 028A,173
Havering 028B,88
Havering 028C,118
Havering 028D,61
Havering 028E,94
Havering 029A,47
Havering 029B,68
Havering 029C,23
Havering 029D,67
Havering 030A,104
Havering 030B,57
Havering 030C,68
Havering 030D,54
Hillingdon 001A,..
Hillingdon 001B,27
Hillingdon 001C,..
Hillingdon 001D,17
Hillingdon 001E,10
Hillingdon 002A,33
Hillingdon 002B,44
Hillingdon 002C,27
Hillingdon 002D,57
Hillingdon 002E,50
Hillingdon 002F,66
Hillingdon 003A,30
Hillingdon 003B,52
Hillingdon 003C,51
Hillingdon 003D,46
Hillingdon 003E,71
Hillingdon 004A,51
Hillingdon 004B,32
Hillingdon 004C,43
Hillingdon 004D,23
Hillingdon 004E,52
Hillingdon 005A,40
Hillingdon 005B,33
Hillingdon 005C,33
Hillingdon 005D,13
Hillingdon 006A,42
Hillingdon 006B,18
Hillingdon 006C,18
Hillingdon 006D,16
Hillingdon 006E,11
Hillingdon 007A,6
Hillingdon 007B,25
Hillingdon 007C,9
Hillingdon 007D,35
Hillingdon 007E,34
Hillingdon 008A,46
Hillingdon 008B,44
Hillingdon 008C,43
Hillingdon 008D,29
Hillingdon 008E,21
Hillingdon 009A,35
Hillingdon 009B,15
Hillingdon 009C,50
Hillingdon 009D,18
Hillingdon 009E,36
Hillingdon 010A,26
Hillingdon 010B,32
Hillingdon 010C,22
Hillingdon 010D,13
Hillingdon 010E,70
Hillingdon 011A,9
Hillingdon 011B,14
Hillingdon 011C,11
Hillingdon 011D,24
Hillingdon 011E,34
Hillingdon 013A,20
Hillingdon 013B,18
Hillingdon 013C,42
Hillingdon 013D,16
Hillingdon 013E,32
Hillingdon 014A,27
Hillingdon 014B,22
Hillingdon 014C,41
Hillingdon 014D,51
Hillingdon 014E,100
Hillingdon 015A,47
Hillingdon 015C,50
Hillingdon 015D,72
Hillingdon 015F,128
Hillingdon 016B,96
Hillingdon 016C,101
Hillingdon 016D,40
Hillingdon 016F,64
Hillingdon 017A,65
Hillingdon 017B,49
Hillingdon 017C,56
Hillingdon 017D,26
Hillingdon 017E,67
Hillingdon 018A,86
Hillingdon 018B,88
Hillingdon 018C,54
Hillingdon 018D,98
Hillingdon 018E,59
Hillingdon 018F,51
Hillingdon 019A,76
Hillingdon 019B,77
Hillingdon 019C,88
Hillingdon 019D,65
Hillingdon 019E,93
Hillingdon 020A,136
Hillingdon 020B,85
Hillingdon 020C,158
Hillingdon 020D,202
Hillingdon 020E,123
Hillingdon 021A,97
Hillingdon 021B,66
Hillingdon 021C,125
Hillingdon 021D,60
Hillingdon 021E,60
Hillingdon 021F,93
Hillingdon 022A,82
Hillingdon 022B,108
Hillingdon 022C,22
Hillingdon 022D,71
Hillingdon 022E,118
Hillingdon 022F,161
Hillingdon 023A,84
Hillingdon 023B,57
Hillingdon 023C,122
Hillingdon 023D,78
Hillingdon 023E,95
Hillingdon 024A,105
Hillingdon 024B,100
Hillingdon 024C,124
Hillingdon 024D,177
Hillingdon 024E,131
Hillingdon 025A,76
Hillingdon 025B,61
Hillingdon 025C,135
Hillingdon 025D,94
Hillingdon 025E,63
Hillingdon 026A,102
Hillingdon 026B,78
Hillingdon 026C,173
Hillingdon 026D,167
Hillingdon 026E,157
Hillingdon 027A,74
Hillingdon 027B,123
Hillingdon 027C,107
Hillingdon 027D,151
Hillingdon 027E,163
Hillingdon 027F,94
Hillingdon 028A,147
Hillingdon 028B,102
