Year,2020/21
Haringey 022C,..
Haringey 022D,10
Haringey 023A,38
Haringey 023B,57
Haringey 023C,129
Haringey 023D,36
Haringey 024A,72
Haringey 024B,92
Haringey 024C,92
Haringey 024D,88
Haringey 025A,148
Haringey 025B,94
Haringey 025C,114
Haringey 025D,94
Haringey 026A,80
Haringey 026B,104
Haringey 026C,73
Haringey 026D,109
Haringey 027A,27
Haringey 027B,28
Haringey 027C,26
Haringey 027D,77
Haringey 028A,37
Haringey 028B,34
Haringey 028C,32
Haringey 028D,41
Haringey 029A,145
Haringey 029B,78
Haringey 029C,146
Haringey 029D,114
Haringey 030A,15
Haringey 030B,7
Haringey 030C,20
Haringey 030D,21
Haringey 031A,35
Haringey 031B,20
Haringey 031C,44
Haringey 031D,51
Haringey 032A,94
Haringey 032B,150
Haringey 032C,78
Haringey 032D,47
Haringey 033A,20
Haringey 033B,23
Haringey 033C,10
Haringey 033D,32
Haringey 034A,18
Haringey 034B,17
Haringey 034C,16
Haringey 034D,24
Haringey 035A,15
Haringey 035B,14
Haringey 035C,5
Haringey 035D,5
Haringey 036A,15
Haringey 036B,39
Haringey 036C,60
Haringey 036D,30
Haringey 037A,210
Haringey 037B,132
Haringey 037C,120
Haringey 037D,200
Islington 001A,67
Islington 001B,29
Islington 001C,101
Islington 001D,53
Islington 001E,66
Islington 001F,70
Islington 002A,63
Islington 002B,39
Islington 002C,61
Islington 002D,24
Islington 002E,96
Islington 002F,62
Islington 003A,67
Islington 003B,32
Islington 003C,62
Islington 003D,42
Islington 003E,33
Islington 003F,62
Islington 004A,49
Islington 004B,35
Islington 004C,34
Islington 004D,64
Islington 004E,38
Islington 005A,57
Islington 005B,174
Islington 005C,105
Islington 005D,131
Islington 005E,162
Islington 006A,36
Islington 006B,24
Islington 006C,86
Islington 006D,49
Islington 006F,9
Islington 006G,28
Islington 007A,28
Islington 007B,98
Islington 007C,13
Islington 007D,44
Islington 008A,16
Islington 008B,14
Islington 008C,12
Islington 008D,28
Islington 009A,30
Islington 009B,78
Islington 009C,34
Islington 009D,29
Islington 009E,65
Islington 010A,60
Islington 010B,54
Islington 010C,82
Islington 010D,70
Islington 010E,68
Islington 011C,22
Islington 011D,109
Islington 011E,31
Islington 011F,31
Islington 011G,39
Islington 011H,63
Islington 011I,99
Islington 012A,66
Islington 012B,131
Islington 012C,48
Islington 012D,66
Islington 012E,106
Islington 013A,21
Islington 013B,16
Islington 013C,12
Islington 013D,80
Islington 013E,41
Islington 014A,126
Islington 014B,12
Islington 014C,20
Islington 014D,17
Islington 014E,78
Islington 014F,34
Islington 015A,66
Islington 015B,18
Islington 015C,81
Islington 015D,124
Islington 015E,102
Islington 016A,24
Islington 016B,28
Islington 016C,175
Islington 016D,43
Islington 016E,21
Islington 016F,77
Islington 017A,32
Islington 017B,31
Islington 017C,8
Islington 017D,10
Islington 017E,30
Islington 018A,55
Islington 018B,56
Islington 018C,67
Islington 018D,95
Islington 018E,52
Islington 019A,118
Islington 019B,63
Islington 019C,89
Islington 019D,56
Islington 019E,137
Islington 020A,32
Islington 020B,19
Islington 020C,14
Islington 020D,59
Islington 020E,82
Islington 021A,37
Islington 021B,77
Islington 021C,35
Islington 021D,43
Islington 021E,34
Islington 022B,39
Islington 022C,62
Islington 022D,25
Islington 022E,77
Islington 022F,52
Islington 022G,16
Islington 022H,43
Islington 023A,73
Islington 023B,112
Islington 023C,83
Islington 023D,71
Islington 023E,54
Kensington and Chelsea 001A,88
Kensington and Chelsea 001B,64
Kensington and Chelsea 001C,59
Kensington and Chelsea 001D,82
Kensington and Chelsea 001E,59
Kensington and Chelsea 002A,77
