Stat-Xplore,,,,,,,,
,,,,,,,,
Relative Low Income (I II III IV V VI),,,,,,,,
National - Regional - LA - OAs (GB) by Year,,,,,,,,
Counting: Relative Low Income,,,,,,,,
,,,,,,,,
Filters:,,,,,,,,
Default Summation,Relative Low Income,,,,,,,
,,,,,,,,
Year,2020/21,2020/21 - Annotations,2021/22,2021/22 - Annotations,2022/23,2022/23 - Annotations,2023/24,2023/24 - Annotations
National - Regional - LA - OAs (GB),,,,,,,,
Hackney 017D,56,,44,,63,,57,
Hackney 018A,64,,70,,68,,66,
Hackney 018B,84,,83,,71,,83,
Hackney 018C,119,,127,,119,,109,
Hackney 018D,111,,101,,101,,109,
Hackney 019A,151,,163,,183,,179,
Hackney 019B,191,,194,,224,,246,
Hackney 019C,181,,192,,211,,181,
Hackney 019D,68,,70,,79,,73,
Hackney 019E,190,,197,,228,,245,
Hackney 019F,156,,160,,146,,137,
Hackney 020A,90,,92,,81,,101,
Hackney 020B,49,,45,,40,,36,
Hackney 020C,77,,69,,63,,54,
Hackney 020D,44,,46,,75,,72,
Hackney 020E,57,,47,,47,,58,
Hackney 021B,82,,89,,73,,84,
Hackney 021C,65,,109,,94,,97,
Hackney 021D,10,,6,,14,,13,
Hackney 021E,35,,37,,38,,41,
Hackney 021F,47,,39,,49,,51,
Hackney 021G,42,,39,,33,,54,
Hackney 021H,53,,59,,56,,68,
Hackney 021I,37,,36,,33,,33,
Hackney 022A,89,,79,,84,,85,
Hackney 022B,131,,125,,107,,115,
Hackney 022C,60,,56,,69,,66,
Hackney 022D,85,,83,,92,,78,
Hackney 022E,113,,105,,134,,127,
Hackney 023B,32,,35,,34,,36,
Hackney 023C,87,,85,,66,,75,
Hackney 023D,75,,65,,94,,104,
Hackney 023E,53,,55,,53,,49,
Hackney 023F,41,,59,,67,,60,
Hackney 023G,58,,54,,63,,81,
Hackney 024A,106,,107,,127,,118,
Hackney 024B,136,,134,,140,,153,
Hackney 024C,104,,105,,131,,121,
Hackney 024D,113,,99,,102,,94,
Hackney 024E,83,,86,,81,,58,
Hackney 024F,106,,105,,107,,93,
Hackney 025A,124,,89,,104,,113,
Hackney 025B,146,,150,,174,,180,
Hackney 025C,140,,141,,145,,163,
Hackney 025D,143,,143,,111,,129,
Hackney 025E,123,,148,,158,,150,
Hackney 025F,94,,84,,101,,93,
Hackney 026A,140,,161,,168,,157,
Hackney 026B,110,,113,,118,,102,
Hackney 026C,87,,81,,103,,103,
Hackney 026D,108,,129,,151,,145,
Hackney 027B,117,,162,,162,,135,
Hackney 027D,117,,99,,106,,107,
Hackney 027E,138,,137,,137,,140,
Hackney 027F,41,,41,,39,,41,
Hackney 027G,7,,8,,7,,6,
Hackney 027H,57,,65,,63,,94,
Hackney 027I,32,,18,,31,,26,
Hackney 028A,129,,101,,132,,149,
Hackney 028B,144,,139,,160,,175,
Hackney 028C,117,,118,,123,,165,
Hackney 028D,104,,104,,93,,86,
Hackney 028E,54,,77,,75,,97,
Hackney 029A,130,,163,,182,,251,
Hackney 029B,106,,129,,179,,220,
Hackney 029C,155,,162,,140,,192,
Hackney 029D,162,,159,,201,,214,
Hammersmith and Fulham 001A,46,,60,,58,,73,
Hammersmith and Fulham 001B,112,,89,,139,,123,
Hammersmith and Fulham 001C,63,,74,,82,,76,
Hammersmith and Fulham 001D,57,,59,,79,,88,
Hammersmith and Fulham 001E,89,,89,,89,,92,
Hammersmith and Fulham 002A,109,,135,,156,,146,
Hammersmith and Fulham 002B,159,,158,,146,,144,
Hammersmith and Fulham 002C,146,,132,,144,,155,
Hammersmith and Fulham 002D,145,,161,,172,,165,
Hammersmith and Fulham 003A,38,,34,,40,,50,
Hammersmith and Fulham 003B,49,,55,,69,,83,
Hammersmith and Fulham 003C,85,,111,,96,,105,
Hammersmith and Fulham 003D,52,,44,,55,,36,
Hammersmith and Fulham 004A,69,,82,,85,,78,
Hammersmith and Fulham 004B,131,,150,,151,,166,
Hammersmith and Fulham 004C,45,,35,,46,,48,
Hammersmith and Fulham 004D,45,,51,,58,,78,
Hammersmith and Fulham 005A,55,,55,,71,,68,
Hammersmith and Fulham 005B,52,,50,,53,,65,
Hammersmith and Fulham 005C,11,,11,,25,,39,
Hammersmith and Fulham 005D,49,,55,,48,,56,
Hammersmith and Fulham 006A,43,,46,,49,,56,
Hammersmith and Fulham 006B,65,,54,,56,,77,
Hammersmith and Fulham 006C,52,,70,,80,,49,
Hammersmith and Fulham 006D,23,,36,,41,,18,
Hammersmith and Fulham 006E,26,,27,,17,,23,
Hammersmith and Fulham 007A,13,,15,,28,,34,
Hammersmith and Fulham 007B,12,,13,,14,,29,
Hammersmith and Fulham 007C,50,,38,,46,,32,
Hammersmith and Fulham 007D,93,,91,,110,,88,
Hammersmith and Fulham 008A,93,,92,,131,,138,
Hammersmith and Fulham 008B,13,,15,,25,,25,
Hammersmith and Fulham 008C,13,,6,,17,,14,
Hammersmith and Fulham 008D,36,,31,,47,,34,
Hammersmith and Fulham 009A,40,,41,,36,,45,
Hammersmith and Fulham 009B,28,,23,,18,,21,
Hammersmith and Fulham 009C,11,,13,,25,,17,
Hammersmith and Fulham 009D,6,,5,,7,,13,
Hammersmith and Fulham 010A,16,,24,,30,,29,
Hammersmith and Fulham 010B,15,,22,,24,,25,
Hammersmith and Fulham 010C,30,,51,,39,,50,
Hammersmith and Fulham 010D,6,,7,,5,,..,
Hammersmith and Fulham 010E,34,,40,,33,,34,
Hammersmith and Fulham 011A,24,,18,,18,,17,
Hammersmith and Fulham 011B,19,,15,,11,,11,
Hammersmith and Fulham 011C,30,,32,,29,,38,
Hammersmith and Fulham 011D,20,,18,,28,,19,
Hammersmith and Fulham 012A,25,,14,,19,,27,
Hammersmith and Fulham 012B,8,,9,,15,,14,
Hammersmith and Fulham 012C,40,,36,,37,,46,
Hammersmith and Fulham 012D,20,,19,,17,,17,
Hammersmith and Fulham 012E,19,,8,,25,,25,
Hammersmith and Fulham 012F,22,,21,,24,,19,
Hammersmith and Fulham 013A,48,,56,,73,,73,
Hammersmith and Fulham 013B,43,,21,,27,,41,
Hammersmith and Fulham 013C,32,,31,,30,,23,
Hammersmith and Fulham 013D,61,,59,,57,,45,
Hammersmith and Fulham 013E,53,,54,,48,,61,
Hammersmith and Fulham 014A,33,,24,,19,,24,
Hammersmith and Fulham 014B,21,,20,,26,,19,
Hammersmith and Fulham 014C,..,,..,,10,,10,
Hammersmith and Fulham 014D,18,,24,,22,,22,
Hammersmith and Fulham 015A,116,,113,,98,,110,
Hammersmith and Fulham 015B,12,,13,,16,,11,
Hammersmith and Fulham 015C,45,,42,,51,,33,
Hammersmith and Fulham 015D,95,,95,,115,,113,
Hammersmith and Fulham 015E,115,,109,,129,,127,
Hammersmith and Fulham 016A,29,,32,,31,,35,
Hammersmith and Fulham 016B,31,,48,,30,,42,
Hammersmith and Fulham 016C,18,,8,,15,,20,
