Stat-Xplore,,,,,,,,
,,,,,,,,
Relative Low Income (I II III IV V VI),,,,,,,,
National - Regional - LA - OAs (GB) by Year,,,,,,,,
Counting: Relative Low Income,,,,,,,,
,,,,,,,,
Filters:,,,,,,,,
Default Summation,Relative Low Income,,,,,,,
,,,,,,,,
Year,2020/21,2020/21 - Annotations,2021/22,2021/22 - Annotations,2022/23,2022/23 - Annotations,2023/24,2023/24 - Annotations
National - Regional - LA - OAs (GB),,,,,,,,
Newham 034G,14,,9,,18,,13,
Newham 034H,58,,48,,65,,62,
Newham 034I,106,,124,,160,,134,
Newham 034J,112,,174,,240,,262,
Newham 035A,59,,58,,75,,110,
Newham 035B,74,,67,,74,,75,
Newham 035C,78,,81,,95,,100,
Newham 035D,63,,63,,69,,93,
Newham 036A,119,,145,,162,,157,
Newham 036B,122,,148,,185,,190,
Newham 036C,92,,124,,127,,115,
Newham 036D,119,,156,,156,,206,
Newham 036E,111,,161,,216,,230,
Newham 037A,197,,234,,265,,313,
Newham 037C,150,,159,,207,,195,
Newham 037E,92,,100,,109,,122,
Newham 037F,21,,21,,11,,27,
Newham 037G,108,,123,,132,,164,
Newham 037H,31,,26,,39,,41,
Southwark 001A,19,,35,,40,,48,
Southwark 001B,16,,12,,10,,9,
Southwark 001C,30,,27,,37,,36,
Southwark 001D,7,,9,,11,,14,
Southwark 001E,63,,64,,82,,71,
Southwark 002A,43,,63,,73,,69,
Southwark 002B,44,,54,,61,,69,
Southwark 002C,34,,26,,25,,25,
Southwark 002D,33,,28,,36,,32,
Southwark 002E,52,,67,,74,,73,
Southwark 003A,96,,105,,128,,119,
Southwark 003E,74,,82,,97,,92,
Southwark 003F,..,,..,,..,,..,
Southwark 003G,5,,6,,5,,6,
Southwark 003H,7,,7,,10,,6,
Southwark 003I,16,,19,,21,,19,
Southwark 003J,25,,27,,33,,28,
Southwark 003K,..,,..,,..,,..,
Southwark 004A,85,,69,,123,,127,
Southwark 004B,68,,75,,64,,79,
Southwark 004C,103,,90,,115,,126,
Southwark 004D,97,,69,,82,,115,
Southwark 004E,98,,84,,85,,105,
Southwark 006A,85,,80,,84,,73,
Southwark 006B,106,,96,,110,,132,
Southwark 006C,55,,68,,65,,78,
Southwark 006D,98,,93,,125,,154,
Southwark 006E,31,,32,,41,,62,
Southwark 006F,41,,50,,57,,59,
Southwark 007A,78,,79,,82,,70,
Southwark 007B,71,,79,,92,,86,
Southwark 007C,103,,89,,120,,116,
Southwark 007D,74,,91,,97,,116,
Southwark 007E,164,,142,,171,,139,
Southwark 008A,60,,76,,74,,74,
Southwark 008B,84,,100,,115,,126,
Southwark 008C,15,,24,,12,,17,
Southwark 008D,6,,18,,16,,35,
Southwark 008E,49,,44,,48,,46,
Southwark 009A,9,,5,,..,,10,
Southwark 009B,36,,50,,45,,51,
Southwark 009C,87,,95,,128,,122,
Southwark 009F,94,,122,,124,,123,
Southwark 010A,77,,68,,91,,66,
Southwark 010B,143,,125,,125,,122,
Southwark 010C,63,,97,,86,,100,
Southwark 010D,104,,110,,106,,91,
Southwark 010E,26,,20,,29,,24,
Southwark 011A,97,,86,,95,,72,
Southwark 011B,102,,111,,124,,101,
Southwark 011C,75,,90,,91,,91,
Southwark 011D,55,,76,,65,,74,
Southwark 012A,49,,63,,59,,74,
Southwark 012B,113,,106,,116,,153,
Southwark 012E,63,,58,,69,,73,
Southwark 012F,105,,118,,126,,124,
Southwark 013A,62,,85,,97,,112,
Southwark 013B,41,,52,,71,,70,
Southwark 013C,111,,100,,139,,154,
Southwark 013D,61,,81,,94,,99,
Southwark 013E,113,,83,,107,,96,
Southwark 014A,117,,106,,133,,128,
Southwark 014B,43,,56,,61,,79,
Southwark 014D,26,,30,,30,,30,
Southwark 014E,68,,76,,92,,120,
Southwark 014F,39,,48,,62,,46,
Southwark 014G,41,,46,,71,,72,
Southwark 015A,85,,79,,85,,96,
Southwark 015B,107,,116,,121,,136,
Southwark 015C,146,,137,,128,,129,
Southwark 015D,99,,123,,145,,138,
Southwark 015E,110,,121,,144,,129,
Southwark 016A,111,,120,,117,,152,
Southwark 016B,35,,43,,55,,52,
Southwark 016C,86,,88,,101,,102,
Southwark 016D,67,,67,,103,,107,
Southwark 016E,99,,90,,116,,102,
Southwark 017A,42,,44,,57,,54,
Southwark 017B,54,,60,,86,,77,
Southwark 017C,51,,51,,62,,54,
Southwark 017D,136,,163,,179,,186,
Southwark 017E,53,,65,,72,,74,
Southwark 018A,146,,157,,169,,205,
Southwark 018B,89,,113,,135,,144,
Southwark 018C,111,,146,,154,,144,
Southwark 018D,130,,121,,138,,131,
Southwark 018E,97,,108,,117,,132,
Southwark 019A,112,,127,,132,,170,
Southwark 019B,108,,105,,112,,116,
Southwark 019C,147,,141,,125,,135,
Southwark 019D,61,,54,,69,,78,
Southwark 019E,135,,149,,148,,183,
Southwark 020A,131,,161,,162,,160,
Southwark 020B,84,,58,,90,,87,
Southwark 020C,95,,77,,107,,99,
Southwark 020D,69,,70,,75,,77,
Southwark 020E,93,,83,,111,,104,
Southwark 021A,24,,29,,25,,32,
Southwark 021B,129,,168,,157,,148,
Southwark 021C,34,,36,,71,,63,
Southwark 021D,128,,129,,150,,131,
Southwark 021E,91,,118,,147,,143,
Southwark 021F,68,,79,,68,,72,
Southwark 022B,130,,117,,154,,134,
Southwark 022D,62,,62,,84,,80,
Southwark 022E,113,,141,,170,,161,
Southwark 022F,128,,127,,141,,132,
Southwark 023A,85,,75,,76,,68,
Southwark 023B,71,,94,,116,,105,
Southwark 023C,87,,95,,104,,108,
Southwark 023D,98,,126,,147,,152,
Southwark 023E,60,,66,,57,,54,
Southwark 024A,24,,24,,33,,55,
Southwark 024B,49,,37,,47,,37,
Southwark 024C,55,,65,,103,,98,
Southwark 024D,9,,14,,17,,20,
Southwark 024E,27,,20,,40,,35,
Southwark 025A,22,,35,,28,,37,
Southwark 025B,92,,81,,110,,129,
Southwark 025C,31,,41,,47,,58,
Southwark 025D,47,,42,,27,,26,
Southwark 025E,92,,59,,90,,139,
Southwark 026A,63,,66,,77,,95,
Southwark 026B,69,,79,,79,,82,
Southwark 026C,81,,52,,63,,69,
Southwark 026D,75,,82,,75,,70,
Southwark 026E,95,,83,,99,,85,
Southwark 027A,137,,126,,134,,153,
Southwark 027B,52,,74,,90,,80,
Southwark 027C,64,,55,,54,,53,
Southwark 027D,49,,49,,87,,89,
Southwark 027E,25,,16,,23,,12,
Southwark 028A,34,,29,,23,,24,
Southwark 028B,46,,27,,34,,38,
Southwark 028C,23,,31,,30,,25,
Southwark 028D,32,,26,,30,,39,
Southwark 028E,29,,24,,13,,18,
Southwark 029A,39,,31,,40,,39,
Southwark 029B,61,,60,,65,,81,
Southwark 029C,23,,20,,37,,33,
Southwark 029D,106,,103,,107,,123,
Southwark 030A,30,,29,,27,,29,
Southwark 030B,21,,14,,16,,15,
Southwark 030C,16,,17,,8,,12,
Southwark 030D,45,,45,,41,,35,
Southwark 030E,15,,12,,13,,14,
Southwark 031A,6,,6,,..,,..,
Southwark 031B,33,,39,,27,,41,
Southwark 031C,21,,20,,18,,15,
Southwark 031D,15,,8,,27,,16,
Southwark 031E,..,,7,,6,,7,
Southwark 032A,47,,37,,41,,55,
Southwark 032B,78,,94,,97,,89,
Southwark 032C,29,,27,,30,,24,
Southwark 032D,43,,47,,43,,44,
Southwark 032E,17,,10,,9,,21,
Southwark 033A,35,,34,,26,,50,
Southwark 033B,55,,49,,56,,56,
Southwark 033C,124,,148,,171,,146,
Southwark 033D,30,,34,,50,,59,
Southwark 033E,18,,18,,8,,9,
Southwark 034A,37,,43,,54,,48,
Southwark 034B,84,,75,,85,,101,
Southwark 034C,49,,48,,71,,82,
Southwark 034D,51,,123,,114,,116,
Southwark 034E,49,,44,,54,,51,
Tower Hamlets 001A,156,,151,,166,,197,
Tower Hamlets 001B,155,,159,,209,,199,
Tower Hamlets 001C,150,,149,,172,,123,
Tower Hamlets 001D,174,,218,,225,,250,
Tower Hamlets 002A,209,,218,,272,,261,
Tower Hamlets 002B,141,,132,,132,,117,
Tower Hamlets 002C,182,,188,,205,,198,
Tower Hamlets 002D,97,,111,,112,,108,
Tower Hamlets 003A,48,,58,,70,,70,
Tower Hamlets 003B,97,,122,,140,,131,
Tower Hamlets 003C,46,,64,,58,,59,
Tower Hamlets 003D,182,,181,,199,,209,
Tower Hamlets 003E,44,,33,,44,,43,
Tower Hamlets 004A,75,,82,,89,,88,
Tower Hamlets 004C,73,,65,,71,,82,
Tower Hamlets 004D,143,,148,,157,,131,
Tower Hamlets 004E,79,,89,,100,,109,
Tower Hamlets 004F,87,,81,,100,,91,
Tower Hamlets 004G,59,,59,,60,,63,
Tower Hamlets 005A,70,,69,,73,,72,
Tower Hamlets 005B,125,,142,,127,,149,
Tower Hamlets 005C,119,,130,,150,,138,
Tower Hamlets 005D,201,,180,,206,,183,
Tower Hamlets 006A,164,,157,,184,,176,
Tower Hamlets 006B,29,,29,,21,,17,
Tower Hamlets 006C,95,,81,,88,,92,
Tower Hamlets 006D,171,,152,,157,,148,
Tower Hamlets 007A,86,,102,,105,,106,
Tower Hamlets 007B,198,,172,,222,,194,
Tower Hamlets 007C,97,,83,,84,,120,
Tower Hamlets 007D,101,,94,,127,,128,
Tower Hamlets 008A,121,,133,,142,,177,
Tower Hamlets 008B,133,,121,,147,,140,
Tower Hamlets 008C,103,,123,,163,,172,
Tower Hamlets 008D,327,,315,,411,,404,
Tower Hamlets 008E,125,,143,,147,,118,
Tower Hamlets 009A,150,,134,,162,,174,
Tower Hamlets 009B,218,,198,,209,,207,
Tower Hamlets 009C,92,,82,,88,,90,
Tower Hamlets 009D,149,,154,,167,,183,
Tower Hamlets 010A,118,,106,,120,,136,
Tower Hamlets 010B,102,,95,,98,,100,
Tower Hamlets 010C,162,,136,,153,,165,
Tower Hamlets 010E,164,,141,,177,,168,
Tower Hamlets 010F,191,,221,,241,,206,
Tower Hamlets 011A,102,,106,,137,,151,
Tower Hamlets 011B,136,,143,,174,,159,
Tower Hamlets 011D,152,,151,,189,,197,
Tower Hamlets 011F,230,,192,,213,,208,
Tower Hamlets 012A,148,,136,,170,,165,
Tower Hamlets 012B,173,,160,,185,,192,
Tower Hamlets 012C,388,,402,,480,,502,
Tower Hamlets 012D,82,,92,,107,,115,
Tower Hamlets 012E,133,,127,,145,,162,
Tower Hamlets 013A,197,,214,,254,,263,
Tower Hamlets 013B,125,,115,,131,,124,
Tower Hamlets 013C,65,,53,,60,,77,
Tower Hamlets 013D,72,,88,,98,,79,
Tower Hamlets 014A,157,,196,,201,,212,
Tower Hamlets 014B,114,,124,,134,,108,
Tower Hamlets 014C,201,,163,,220,,203,
Tower Hamlets 014D,229,,227,,245,,239,
Tower Hamlets 014E,217,,211,,272,,267,
Tower Hamlets 015A,93,,96,,108,,103,
Tower Hamlets 015B,61,,44,,60,,51,
Tower Hamlets 015C,85,,86,,85,,78,
Tower Hamlets 015D,204,,210,,258,,239,
Tower Hamlets 015E,106,,113,,127,,138,
Tower Hamlets 016A,186,,197,,231,,261,
Tower Hamlets 016B,198,,197,,218,,249,
Tower Hamlets 016C,171,,154,,160,,158,
Tower Hamlets 016D,90,,145,,126,,152,
Tower Hamlets 017A,82,,73,,98,,124,
Tower Hamlets 017B,101,,116,,114,,138,
Tower Hamlets 017C,148,,133,,163,,185,
Tower Hamlets 017D,96,,104,,117,,128,
Tower Hamlets 018A,212,,183,,201,,225,
Tower Hamlets 018B,190,,191,,195,,234,
Tower Hamlets 018C,192,,179,,184,,211,
Tower Hamlets 018D,199,,190,,216,,234,
Tower Hamlets 019A,305,,312,,368,,354,
Tower Hamlets 019B,196,,260,,273,,270,
Tower Hamlets 019C,191,,170,,179,,177,
Tower Hamlets 019D,184,,169,,178,,183,
Tower Hamlets 020A,120,,100,,137,,138,
Tower Hamlets 020B,106,,118,,128,,139,
Tower Hamlets 020C,221,,190,,226,,256,
Tower Hamlets 020D,241,,280,,329,,324,
Tower Hamlets 021A,224,,229,,223,,245,
Tower Hamlets 021C,157,,167,,172,,162,
Tower Hamlets 021D,161,,177,,210,,220,
Tower Hamlets 021E,110,,148,,191,,181,
Tower Hamlets 021F,22,,18,,33,,33,
Tower Hamlets 022A,151,,161,,170,,163,
Tower Hamlets 022B,123,,109,,117,,136,
Tower Hamlets 022C,172,,171,,211,,219,
Tower Hamlets 022D,173,,154,,170,,170,
Tower Hamlets 023A,179,,185,,214,,211,
Tower Hamlets 023B,103,,94,,121,,124,
Tower Hamlets 023C,123,,103,,132,,141,
Tower Hamlets 023D,65,,62,,64,,69,
Tower Hamlets 024A,246,,273,,268,,302,
Tower Hamlets 024B,173,,197,,217,,228,
Tower Hamlets 024C,189,,142,,201,,201,
Tower Hamlets 024D,154,,185,,188,,198,
Tower Hamlets 025B,134,,133,,147,,150,
Tower Hamlets 025C,168,,179,,179,,182,
Tower Hamlets 025D,146,,148,,174,,191,
Tower Hamlets 025E,12,,13,,15,,17,
Tower Hamlets 025F,55,,62,,75,,61,
Tower Hamlets 026A,27,,31,,36,,26,
Tower Hamlets 026B,117,,132,,120,,129,
Tower Hamlets 026C,235,,249,,283,,317,
Tower Hamlets 026D,140,,127,,148,,162,
Tower Hamlets 027A,69,,58,,54,,60,
Tower Hamlets 027B,34,,30,,30,,43,
Tower Hamlets 027C,8,,17,,30,,22,
Tower Hamlets 028A,175,,212,,228,,244,
Tower Hamlets 028B,165,,215,,270,,253,
Tower Hamlets 028D,80,,85,,99,,117,
Tower Hamlets 028E,26,,27,,29,,32,
Tower Hamlets 028F,46,,46,,51,,48,
Tower Hamlets 028G,73,,88,,119,,144,
Tower Hamlets 028H,40,,38,,44,,50,
Tower Hamlets 028I,30,,50,,67,,96,
Tower Hamlets 030A,131,,139,,154,,175,
Tower Hamlets 030B,78,,85,,90,,73,
Tower Hamlets 030C,89,,77,,91,,79,
Tower Hamlets 030D,43,,46,,58,,56,
Tower Hamlets 031A,130,,156,,176,,165,
Tower Hamlets 031B,99,,140,,131,,139,
Tower Hamlets 031C,6,,11,,6,,9,
Tower Hamlets 031D,34,,38,,47,,58,
Tower Hamlets 031F,14,,5,,18,,17,
Tower Hamlets 031G,63,,48,,63,,58,
Tower Hamlets 032A,139,,146,,149,,158,
Tower Hamlets 032B,43,,41,,45,,50,
Tower Hamlets 032C,76,,101,,108,,98,
Tower Hamlets 032D,122,,152,,155,,156,
Tower Hamlets 032E,96,,96,,83,,71,
Tower Hamlets 033A,6,,13,,10,,5,
Tower Hamlets 033B,58,,47,,60,,56,
Tower Hamlets 033C,41,,33,,40,,34,
Tower Hamlets 033D,94,,117,,125,,117,
Wandsworth 001A,32,,49,,52,,59,
Wandsworth 001B,15,,26,,27,,31,
Wandsworth 001C,34,,35,,32,,39,
Wandsworth 001D,41,,45,,55,,50,
Wandsworth 002B,130,,164,,176,,180,
Wandsworth 002C,129,,122,,193,,180,
Wandsworth 002D,38,,51,,53,,70,
Wandsworth 002E,187,,179,,166,,194,
Wandsworth 002F,7,,8,,9,,11,
Wandsworth 002G,45,,43,,62,,64,
Wandsworth 002H,42,,34,,38,,36,
Wandsworth 003A,140,,153,,186,,187,
Wandsworth 003B,67,,70,,92,,94,
Wandsworth 003C,38,,47,,43,,53,
Wandsworth 003D,96,,108,,128,,120,
Wandsworth 004B,19,,31,,34,,17,
Wandsworth 004C,55,,58,,69,,74,
Wandsworth 004D,48,,56,,59,,71,
Wandsworth 004E,44,,53,,48,,61,
Wandsworth 004F,15,,20,,37,,33,
Wandsworth 004G,26,,26,,27,,30,
Wandsworth 005A,34,,35,,35,,47,
Wandsworth 005B,48,,46,,46,,61,
Wandsworth 005C,41,,39,,30,,33,
Wandsworth 005D,38,,29,,49,,60,
Wandsworth 006A,8,,10,,13,,10,
Wandsworth 006B,31,,28,,34,,31,
Wandsworth 006C,8,,6,,11,,10,
Wandsworth 006D,9,,7,,12,,10,
Wandsworth 006E,14,,24,,24,,27,
Wandsworth 007A,256,,258,,315,,331,
Wandsworth 007B,102,,90,,137,,116,
Wandsworth 007C,81,,92,,119,,107,
Wandsworth 007D,78,,92,,121,,127,
Wandsworth 008A,23,,24,,28,,22,
Wandsworth 008B,113,,112,,136,,137,
Wandsworth 008C,8,,13,,20,,12,
Wandsworth 008D,23,,15,,22,,22,
Wandsworth 008E,5,,10,,10,,5,
Wandsworth 009A,11,,5,,7,,8,
Wandsworth 009B,16,,..,,9,,7,
Wandsworth 009C,13,,11,,7,,21,
Wandsworth 009D,13,,13,,17,,15,
Wandsworth 009E,5,,7,,14,,8,
Wandsworth 010A,31,,31,,40,,45,
Wandsworth 010B,13,,5,,8,,13,
Wandsworth 010C,5,,5,,6,,5,
Wandsworth 010E,14,,8,,7,,8,
Wandsworth 010F,31,,14,,42,,53,
Wandsworth 010G,..,,5,,7,,8,
Wandsworth 011A,12,,12,,12,,11,
Wandsworth 011B,10,,..,,..,,5,
Wandsworth 011C,27,,19,,20,,21,
Wandsworth 011D,12,,12,,15,,13,
Wandsworth 011E,28,,23,,29,,29,
Wandsworth 012A,21,,22,,18,,15,
Wandsworth 012B,29,,18,,19,,26,
Wandsworth 012C,31,,38,,33,,37,
Wandsworth 012D,46,,40,,42,,33,
Wandsworth 012E,13,,11,,5,,20,
Wandsworth 013A,121,,112,,133,,162,
Wandsworth 013B,204,,204,,253,,261,
Wandsworth 013C,95,,105,,116,,115,
Wandsworth 013D,89,,92,,117,,138,
Wandsworth 014A,25,,22,,27,,30,
Wandsworth 014B,47,,60,,67,,61,
Wandsworth 014C,47,,29,,40,,33,
Wandsworth 014D,13,,11,,17,,11,
Wandsworth 014E,20,,13,,25,,23,
Wandsworth 015A,24,,21,,30,,22,
Wandsworth 015B,11,,6,,11,,9,
Wandsworth 015C,25,,34,,18,,23,
Wandsworth 015D,12,,8,,19,,18,
Wandsworth 015E,7,,15,,13,,19,
Wandsworth 016A,71,,47,,77,,90,
Wandsworth 016B,45,,57,,94,,92,
Wandsworth 016C,88,,117,,131,,132,
Wandsworth 016D,30,,48,,45,,56,
Wandsworth 016E,116,,121,,138,,156,
Wandsworth 017A,7,,6,,8,,8,
Wandsworth 017B,..,,11,,10,,7,
Wandsworth 017C,5,,10,,6,,11,
Wandsworth 017D,45,,64,,84,,55,
Wandsworth 017E,8,,9,,18,,10,
Wandsworth 018A,20,,24,,39,,39,
Wandsworth 018B,54,,61,,81,,93,
Wandsworth 018C,146,,147,,202,,184,
Wandsworth 018D,36,,51,,54,,83,
Wandsworth 019A,21,,35,,47,,53,
Wandsworth 019B,16,,15,,13,,16,
Wandsworth 019C,17,,12,,22,,17,
Wandsworth 019D,26,,15,,23,,31,
Wandsworth 019E,17,,26,,20,,13,
Wandsworth 019F,19,,20,,16,,15,
Wandsworth 020A,36,,24,,36,,33,
Wandsworth 020B,6,,17,,7,,7,
Wandsworth 020C,15,,9,,14,,15,
Wandsworth 020D,7,,6,,11,,8,
Wandsworth 020E,6,,15,,9,,15,
Wandsworth 020F,12,,21,,30,,30,
Wandsworth 021A,8,,7,,11,,16,
Wandsworth 021B,30,,28,,21,,34,
Wandsworth 021C,14,,31,,22,,28,
Wandsworth 021D,6,,16,,14,,14,
Wandsworth 021E,5,,5,,10,,7,
Wandsworth 022A,74,,80,,77,,87,
Wandsworth 022B,113,,125,,150,,164,
Wandsworth 022C,78,,84,,104,,106,
Wandsworth 022D,107,,125,,144,,168,
Wandsworth 023A,123,,153,,201,,236,
Wandsworth 023B,195,,177,,212,,206,
Wandsworth 023C,112,,128,,130,,125,
Wandsworth 023D,59,,53,,81,,85,
Wandsworth 024A,83,,89,,93,,93,
Wandsworth 024B,12,,24,,22,,21,
Wandsworth 024C,10,,27,,32,,18,
Wandsworth 024D,36,,35,,43,,37,
Wandsworth 024E,30,,32,,36,,27,
Wandsworth 025A,28,,31,,35,,39,
Wandsworth 025B,24,,24,,22,,37,
Wandsworth 025C,21,,34,,27,,27,
Wandsworth 025D,12,,23,,26,,26,
Wandsworth 025E,11,,7,,9,,5,
Wandsworth 026A,12,,9,,17,,16,
Wandsworth 026B,9,,31,,50,,45,
Wandsworth 026C,15,,24,,18,,26,
Wandsworth 026D,26,,22,,36,,43,
Wandsworth 026E,21,,23,,22,,23,
Wandsworth 026F,17,,11,,5,,8,
Wandsworth 027A,5,,8,,9,,16,
Wandsworth 027B,14,,7,,8,,7,
Wandsworth 027C,8,,13,,16,,17,
Wandsworth 027D,11,,27,,25,,29,
Wandsworth 027E,7,,5,,8,,7,
Wandsworth 027F,6,,15,,24,,23,
Wandsworth 028A,35,,46,,46,,30,
Wandsworth 028B,28,,31,,45,,48,
Wandsworth 028C,25,,32,,57,,62,
Wandsworth 028D,59,,56,,72,,68,
Wandsworth 028E,54,,71,,60,,62,
Wandsworth 029A,23,,16,,27,,38,
Wandsworth 029B,9,,14,,11,,9,
Wandsworth 029C,40,,26,,24,,22,
Wandsworth 029D,15,,29,,18,,34,
Wandsworth 030A,24,,26,,19,,34,
Wandsworth 030B,25,,30,,31,,26,
Wandsworth 030C,20,,13,,18,,19,
Wandsworth 030D,37,,45,,54,,47,
Wandsworth 031A,6,,10,,13,,13,
Wandsworth 031B,42,,47,,49,,80,
Wandsworth 031C,40,,35,,40,,41,
Wandsworth 031D,8,,5,,9,,10,
Wandsworth 032A,20,,19,,31,,34,
Wandsworth 032B,36,,24,,25,,37,
Wandsworth 032C,50,,58,,67,,64,
Wandsworth 032D,23,,18,,19,,14,
Wandsworth 033A,50,,58,,54,,75,
Wandsworth 033B,31,,31,,51,,63,
Wandsworth 033C,36,,38,,43,,38,
Wandsworth 033D,32,,63,,56,,89,
Wandsworth 034A,33,,50,,52,,59,
Wandsworth 034B,96,,123,,141,,168,
Wandsworth 034C,21,,17,,50,,68,
Wandsworth 034D,74,,64,,90,,96,
Wandsworth 035A,61,,49,,61,,70,
Wandsworth 035B,40,,55,,64,,78,
Wandsworth 035C,19,,18,,16,,23,
Wandsworth 035D,67,,71,,102,,101,
Wandsworth 035E,34,,42,,50,,59,
Wandsworth 035F,23,,18,,23,,13,
Wandsworth 036A,37,,34,,41,,41,
Wandsworth 036B,26,,21,,35,,35,
Wandsworth 036C,55,,42,,47,,46,
Wandsworth 036D,48,,48,,44,,58,
Wandsworth 036E,44,,38,,68,,66,
Wandsworth 037A,67,,45,,52,,53,
Wandsworth 037B,66,,53,,68,,92,
Wandsworth 037C,47,,46,,52,,61,
Wandsworth 037D,98,,95,,133,,145,
Westminster 001A,20,,17,,19,,15,
Westminster 001B,11,,9,,5,,10,
Westminster 001C,24,,16,,16,,15,
Westminster 001D,18,,17,,15,,11,
Westminster 002A,26,,28,,32,,24,
Westminster 002B,14,,16,,15,,25,
Westminster 002C,5,,6,,9,,6,
Westminster 002D,55,,64,,77,,80,
Westminster 002E,70,,61,,73,,69,
Westminster 003A,5,,9,,5,,10,
Westminster 003B,33,,37,,34,,40,
Westminster 003C,6,,9,,5,,6,
Westminster 003D,15,,21,,12,,12,
Westminster 003E,19,,25,,17,,26,
Westminster 004A,76,,53,,63,,69,
Westminster 004B,76,,63,,71,,65,
Westminster 004C,108,,105,,121,,127,
Westminster 004D,76,,83,,98,,102,
Westminster 004E,197,,192,,188,,172,
Westminster 005A,104,,100,,111,,126,
Westminster 005B,94,,98,,115,,117,
Westminster 005C,42,,56,,58,,57,
Westminster 005D,68,,60,,62,,74,
Westminster 005E,88,,72,,94,,84,
Westminster 005F,68,,79,,84,,89,
Westminster 006A,29,,48,,39,,34,
Westminster 006B,8,,13,,12,,7,
Westminster 006C,5,,..,,..,,..,
Westminster 006D,20,,28,,21,,16,
Westminster 006E,37,,50,,47,,48,
Westminster 007A,8,,21,,8,,21,
Westminster 007B,14,,10,,..,,5,
Westminster 007D,9,,9,,6,,7,
Westminster 007E,47,,44,,47,,40,
Westminster 007F,5,,..,,7,,..,
Westminster 007G,10,,8,,7,,9,
Westminster 008A,16,,13,,12,,7,
Westminster 008B,11,,13,,17,,11,
Westminster 008C,20,,13,,15,,17,
Westminster 008D,10,,13,,9,,6,
Westminster 009A,229,,210,,232,,242,
Westminster 009E,113,,111,,132,,137,
Westminster 009F,93,,76,,65,,66,
Westminster 009G,83,,83,,107,,105,
Westminster 009H,81,,78,,89,,113,
Westminster 009I,29,,26,,32,,27,
Westminster 009J,32,,37,,49,,63,
Westminster 009K,72,,69,,77,,101,
Westminster 010A,114,,92,,105,,124,
Westminster 010B,95,,89,,84,,96,
Westminster 010C,109,,101,,118,,116,
Westminster 010F,223,,169,,178,,204,
Westminster 010G,68,,83,,68,,67,
Westminster 011A,5,,5,,6,,5,
Westminster 011B,5,,12,,22,,21,
Westminster 011C,..,,..,,..,,..,
Westminster 011D,5,,9,,5,,..,
Westminster 011E,10,,12,,17,,20,
Westminster 012A,..,,..,,7,,5,
Westminster 012B,5,,16,,7,,14,
Westminster 012C,27,,35,,31,,41,
Westminster 012D,7,,6,,5,,..,
Westminster 012E,18,,13,,12,,10,
Westminster 013A,38,,29,,31,,34,
Westminster 013B,17,,10,,21,,26,
Westminster 013D,40,,34,,40,,47,
Westminster 013E,8,,13,,14,,5,
Westminster 013F,30,,20,,26,,14,
Westminster 014A,14,,17,,19,,13,
Westminster 014B,12,,11,,11,,13,
Westminster 014D,27,,37,,29,,28,
Westminster 014E,73,,54,,59,,58,
Westminster 014F,11,,5,,6,,6,
Westminster 014G,5,,9,,6,,..,
Westminster 015A,5,,9,,7,,10,
Westminster 015B,11,,9,,9,,6,
Westminster 015C,16,,14,,16,,19,
Westminster 015E,30,,26,,12,,8,
Westminster 015F,33,,28,,32,,22,
Westminster 015G,24,,292,,209,,153,
Westminster 016A,8,,10,,15,,15,
Westminster 016B,12,,8,,10,,16,
Westminster 016C,12,,13,,8,,14,
Westminster 016D,17,,10,,15,,20,
Westminster 016E,6,,10,,11,,5,
Westminster 017A,13,,15,,24,,33,
Westminster 017B,5,,5,,10,,8,
Westminster 017C,13,,6,,21,,19,
Westminster 017D,54,,46,,47,,58,
Westminster 017E,5,,9,,16,,22,
Westminster 017F,13,,18,,10,,20,
Westminster 018A,23,,22,,39,,39,
Westminster 018B,30,,24,,42,,28,
Westminster 018C,..,,20,,23,,23,
Westminster 018D,..,,12,,6,,11,
Westminster 019A,..,,6,,..,,..,
Westminster 019B,5,,14,,10,,10,
Westminster 019C,..,,5,,..,,..,
Westminster 019D,10,,5,,..,,..,
Westminster 019E,..,,..,,6,,..,
Westminster 019F,5,,6,,9,,12,
Westminster 020A,9,,23,,20,,17,
Westminster 020B,38,,24,,29,,33,
Westminster 020C,12,,16,,23,,14,
Westminster 020D,13,,20,,23,,16,
Westminster 020E,11,,..,,6,,8,
Westminster 021A,39,,41,,37,,43,
Westminster 021B,65,,67,,70,,71,
Westminster 021C,33,,33,,37,,40,
Westminster 021D,51,,51,,58,,65,
Westminster 021E,35,,28,,45,,30,
Westminster 022A,14,,11,,16,,13,
Westminster 022B,47,,45,,56,,57,
Westminster 022C,7,,13,,6,,8,
Westminster 022D,33,,34,,39,,40,
Westminster 022E,27,,29,,29,,30,
Westminster 023B,31,,35,,32,,39,
Westminster 023C,41,,44,,53,,64,
Westminster 023D,44,,34,,55,,46,
Westminster 023E,34,,40,,42,,50,
Westminster 023F,19,,21,,31,,25,
Westminster 023G,68,,79,,91,,77,
Westminster 024A,73,,99,,88,,79,
Westminster 024B,74,,53,,65,,72,
Westminster 024C,35,,32,,51,,47,
Westminster 024D,20,,10,,10,,13,
Westminster 024E,5,,6,,..,,6,
Westminster 024F,22,,39,,45,,46,
Barking and Dagenham 001A,152,,129,,136,,175,
Barking and Dagenham 001B,150,,143,,158,,167,
Barking and Dagenham 001C,87,,66,,90,,97,
Barking and Dagenham 001D,232,,227,,257,,291,
